evidence_id,relation,target_file,target_id
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_PL
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_PL
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_PL
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_SO
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_SO
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_SO
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_WN
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_WN
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_WN
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_IF
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_IF
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_IF
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_SW
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_SW
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_SW
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_TH
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_TH
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_TH
E_P531,SUPPORTED_BY,type_catalog.csv,FL_PN_TH
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_PJ_SE
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_PJ_SE
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_PJ_SE
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_PJ_RJ
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_PJ_RJ
E_P250,SUPPORTED_BY,type_catalog.csv,FL_PN_PJ_RJ
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_BL
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_BL
E_P035,SUPPORTED_BY,type_catalog.csv,FL_PN_BL_S
E_P036,SUPPORTED_BY,type_catalog.csv,FL_PN_BL_S
E_P119,SUPPORTED_BY,type_catalog.csv,FL_PN_KWN_T
E_P120,SUPPORTED_BY,type_catalog.csv,FL_PN_KWN_T
E_P119,SUPPORTED_BY,type_catalog.csv,FL_PN_KWN_S
E_P120,SUPPORTED_BY,type_catalog.csv,FL_PN_KWN_S
E_P128,SUPPORTED_BY,type_catalog.csv,FL_PN_JPL
E_P128,SUPPORTED_BY,type_catalog.csv,FL_PN_JSO
E_P128,SUPPORTED_BY,type_catalog.csv,FL_PN_JWN
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_SO
E_P490,SUPPORTED_BY,type_catalog.csv,FL_CL_SO
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_WN
E_P490,SUPPORTED_BY,type_catalog.csv,FL_CL_WN
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_LWN
E_P532,SUPPORTED_BY,type_catalog.csv,FL_CL_LWN
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_IF
E_P490,SUPPORTED_BY,type_catalog.csv,FL_CL_IF
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_SW
E_P490,SUPPORTED_BY,type_catalog.csv,FL_CL_SW
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_TH
E_P490,SUPPORTED_BY,type_catalog.csv,FL_CL_TH
E_P532,SUPPORTED_BY,type_catalog.csv,FL_CL_TH
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_LF_SE
E_P490,SUPPORTED_BY,type_catalog.csv,FL_CL_LF_SE
E_P270,SUPPORTED_BY,type_catalog.csv,FL_CL_BL
E_P360,SUPPORTED_BY,type_catalog.csv,FL_CL_BL
E_P334,SUPPORTED_BY,type_catalog.csv,FL_CL_KWN_T
E_P335,SUPPORTED_BY,type_catalog.csv,FL_CL_KWN_T
E_P334,SUPPORTED_BY,type_catalog.csv,FL_CL_KWN_S
E_P335,SUPPORTED_BY,type_catalog.csv,FL_CL_KWN_S
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_RF
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_RF
E_P490,SUPPORTED_BY,type_catalog.csv,FACE_RF
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_FF
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_FF
E_P491,SUPPORTED_BY,type_catalog.csv,FACE_FF
E_P532,SUPPORTED_BY,type_catalog.csv,FACE_FF
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_FM_M_PAIR
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_FM_M_PAIR
E_P490,SUPPORTED_BY,type_catalog.csv,FACE_FM_M_PAIR
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_T_G_PAIR
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_T_G_PAIR
E_P490,SUPPORTED_BY,type_catalog.csv,FACE_T_G_PAIR
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_RJ
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_RJ
E_P490,SUPPORTED_BY,type_catalog.csv,FACE_RJ
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_FM_COMPONENT
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_FM_COMPONENT
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_M_COMPONENT
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_M_COMPONENT
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_T_COMPONENT
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_T_COMPONENT
E_P040,SUPPORTED_BY,type_catalog.csv,FACE_G_COMPONENT
E_P273,SUPPORTED_BY,type_catalog.csv,FACE_G_COMPONENT
E_P014,SUPPORTED_BY,type_catalog.csv,G_RUBBER_FLAT
E_P252,SUPPORTED_BY,type_catalog.csv,G_RUBBER_FLAT
E_P492,SUPPORTED_BY,type_catalog.csv,G_RUBBER_FLAT
E_P014,SUPPORTED_BY,type_catalog.csv,G_ASBESTOS_RUBBER
E_P252,SUPPORTED_BY,type_catalog.csv,G_ASBESTOS_RUBBER
E_P491,SUPPORTED_BY,type_catalog.csv,G_ASBESTOS_RUBBER
E_P492,SUPPORTED_BY,type_catalog.csv,G_ASBESTOS_RUBBER
E_P014,SUPPORTED_BY,type_catalog.csv,G_NON_ASBESTOS_FIBER
E_P252,SUPPORTED_BY,type_catalog.csv,G_NON_ASBESTOS_FIBER
E_P491,SUPPORTED_BY,type_catalog.csv,G_NON_ASBESTOS_FIBER
E_P492,SUPPORTED_BY,type_catalog.csv,G_NON_ASBESTOS_FIBER
E_P014,SUPPORTED_BY,type_catalog.csv,G_PTFE_FLAT
E_P252,SUPPORTED_BY,type_catalog.csv,G_PTFE_FLAT
E_P491,SUPPORTED_BY,type_catalog.csv,G_PTFE_FLAT
E_P492,SUPPORTED_BY,type_catalog.csv,G_PTFE_FLAT
E_P014,SUPPORTED_BY,type_catalog.csv,G_MODIFIED_PTFE
E_P252,SUPPORTED_BY,type_catalog.csv,G_MODIFIED_PTFE
E_P492,SUPPORTED_BY,type_catalog.csv,G_MODIFIED_PTFE
E_P014,SUPPORTED_BY,type_catalog.csv,G_FLEX_GRAPHITE_REINFORCED
E_P252,SUPPORTED_BY,type_catalog.csv,G_FLEX_GRAPHITE_REINFORCED
E_P491,SUPPORTED_BY,type_catalog.csv,G_FLEX_GRAPHITE_REINFORCED
E_P492,SUPPORTED_BY,type_catalog.csv,G_FLEX_GRAPHITE_REINFORCED
E_P014,SUPPORTED_BY,type_catalog.csv,G_MICA_COMPOSITE
E_P252,SUPPORTED_BY,type_catalog.csv,G_MICA_COMPOSITE
E_P492,SUPPORTED_BY,type_catalog.csv,G_MICA_COMPOSITE
E_P015,SUPPORTED_BY,type_catalog.csv,G_PTFE_ENVELOPE_A
E_P162,SUPPORTED_BY,type_catalog.csv,G_PTFE_ENVELOPE_A
E_P257,SUPPORTED_BY,type_catalog.csv,G_PTFE_ENVELOPE_A
